x_mi,y_px,y_ft
0.948796,197.50,2675.0
0.950157,197.50,2675.0
0.951518,197.50,2675.0
0.952880,197.50,2675.0
0.954241,197.50,2675.0
0.955602,197.50,2675.0
0.956963,197.50,2675.0
0.958325,198.00,2679.4
0.959686,198.50,2683.7
0.961047,199.00,2688.1
0.962408,199.00,2688.1
0.963770,199.50,2692.4
0.965131,199.50,2692.4
0.966492,200.00,2696.8
0.967853,200.50,2701.1
0.969215,201.00,2705.4
0.970576,202.00,2714.1
0.971937,202.00,2714.1
0.973298,203.00,2722.8
0.974660,203.50,2727.1
0.976021,204.00,2731.5
0.977382,204.50,2735.8
0.978743,205.00,2740.2
0.980105,206.00,2748.9
0.981466,206.50,2753.2
0.982827,207.00,2757.5
0.984188,208.00,2766.2
0.985550,208.50,2770.6
0.986911,209.00,2774.9
0.988272,209.00,2774.9
0.989634,210.00,2783.6
0.990995,210.50,2787.9
0.992356,211.00,2792.3
0.993717,211.50,2796.6
0.995079,211.50,2796.6
0.996440,212.50,2805.3
0.997801,213.00,2809.6
0.999162,213.50,2814.0
1.000524,213.50,2814.0
1.001885,213.50,2814.0
1.003246,213.50,2814.0
1.004607,213.50,2814.0
1.005969,213.50,2814.0
1.007330,213.50,2814.0
1.008691,213.50,2814.0
1.010052,213.50,2814.0
1.011414,213.50,2814.0
1.012775,213.50,2814.0
1.014136,213.50,2814.0
1.015497,213.50,2814.0
1.016859,213.50,2814.0
1.018220,213.50,2814.0
1.019581,213.50,2814.0
1.020942,213.50,2814.0
1.022304,214.50,2822.7
1.023665,214.50,2822.7
1.025026,215.00,2827.0
1.026387,215.50,2831.4
1.027749,215.50,2831.4
1.029110,216.00,2835.7
1.030471,217.00,2844.4
1.031832,217.00,2844.4
1.033194,217.50,2848.7
1.034555,218.00,2853.1
1.035916,218.50,2857.4
1.037277,219.00,2861.7
1.038639,220.00,2870.4
1.040000,220.00,2870.4
1.041361,221.00,2879.1
1.042723,222.00,2887.8
1.044084,222.00,2887.8
1.045445,223.00,2896.5
1.046806,224.00,2905.2
1.048168,224.50,2909.5
1.049529,225.00,2913.8
1.050890,226.00,2922.5
1.052251,226.50,2926.9
1.053613,227.00,2931.2
1.054974,228.00,2939.9
1.056335,229.00,2948.6
1.057696,229.00,2948.6
1.059058,230.00,2957.3
1.060419,231.00,2965.9
1.061780,231.00,2965.9
1.063141,232.00,2974.6
1.064503,233.00,2983.3
1.065864,233.50,2987.7
1.067225,234.50,2996.3
1.068586,235.00,3000.7
